session,animal,date,twopRecordedTrials,twopAlignedDataTrials,bpodTrials
200402a,Plex50,2020-10-12_231228,,,
200331a,Plex50,2020-10-13_142641,,,
200331a,Plex50,2020-10-13_144304,,,
200331,Plex50,2020-10-13_144703,,,
200401a,Plex50,2020-10-13_144833,,,
200320,Plex50,2020-10-13_145524,,,
200401,Plex50,2020-10-14_204814,,,
200330a,Plex50,2020-10-14_205139,,,
200330,Plex50,2020-10-14_205426,,,
200323,Plex50,2020-10-14_205647,,,
200322,Plex50,2020-10-14_210602,,,
200321,Plex50,2020-10-14_210752,,,
200320,Plex50,2020-10-14_210843,,,
20200401a,CSP30,2020-10-14_213958,,,
200401,CSP30,2020-10-14_214101,,,
200331a,CSP30,2020-10-14_214150,,,
200331,CSP30,2020-10-14_214314,,,
200320,CSP30,2020-10-14_214959,,,
200319,CSP30,2020-10-14_220717,,,
200318a,CSP30,2020-10-14_221444,,,
200318a,CSP30,2020-10-15_212531,414,414,414
200317a,CSP30,2020-10-15_213143,288,288,315
200317,CSP30,2020-10-15_213742,486,486,486
200317a,CSP30,2020-10-15_215223,288,288,315
200316a,CSP30,2020-10-16_171820,452,452,451
200316,CSP30,2020-10-16_223117,441,441,441
200303,CSP30,2020-10-16_223230,457,457,457
200302,CSP30,2020-10-16_223515,423,423,300
200302,CSP30,2020-10-16_231159,423,423,422
200301a,CSP30,2020-10-16_231445,420,420,419
200301,CSP30,2020-10-16_231902,389,385,389
20200322a,CSP29,2020-10-16_232400,609,609,609
20200322,CSP29,2020-10-16_232803,458,458,458
20200321,CSP29,2020-10-16_232953,417,417,417
20200321a,CSP29,2020-10-16_234646,482,482,482
20200306,CSP29,2020-10-20_212435,514,513,514
20200305a,CSP29,2020-10-20_221729,516,515,516
20200305a,CSP29,2020-10-23_211058,516,515,516
20200305a,CSP29,2020-10-23_211323,516,515,516
20200305,CSP29,2020-10-23_211832,426,425,426
20200304,CSP29,2020-10-23_214121,593,593,511
20200304,CSP29,2020-10-23_214303,593,593,593
20200222a,CSP29,2020-10-23_214504,601,585,151
20200222a,CSP29,2020-10-23_215659,601,585,601
20200222,CSP29,2020-10-23_220436,460,458,308
20200329a,CSP27,2020-10-25_133150,504,504,504
20200329,CSP27,2020-10-25_133733,552,552,552
20200329,CSP27,2020-10-26_215451,552,552,552
20200328a,CSP27,2020-10-26_220613,393,393,393
20200328,CSP27,2020-10-26_220837,536,536,536
20200324,CSP27,2020-10-26_222128,568,568,568
20200321a,CSP27,2020-10-26_222958,509,509,509
20200321,CSP27,2020-10-26_223218,550,550,550
20200320a,CSP27,2020-10-26_223342,517,517,517
20200320,CSP27,2020-10-26_223840,505,505,505
20200320,CSP27,2020-10-26_225235,505,505,505
20200320,CSP27,2020-10-27_204836,505,505,505
20200308a,CSP27,2020-10-27_210745,522,519,522
20200308,CSP27,2020-10-27_210847,523,522,523
20200307a,CSP27,2020-10-27_214655,486,474,486
20200307,CSP27,2020-10-27_220135,466,453,467
20200305a,CSP29,2020-10-27_220755,516,515,516
20200322,CSP29,2020-10-29_221828,458,458,458
20200322a,CSP29,2020-10-29_221930,609,609,609
20200329,CSP27,2020-11-17_200559,552,552,552
20200329,CSP27,2020-11-17_200757,552,552,552
20200329,CSP27,2020-11-20_221349,552,552,552
20200329,CSP27,2020-11-20_221635,552,552,552
20200329,CSP27,2020-11-20_221829,552,552,552
20200329,CSP27,2020-11-24_083222,552,552,552
20200329,CSP27,2020-11-24_184828,552,552,552
20200329,CSP27,2020-11-24_185004,552,552,552
20200329,CSP27,2020-11-24_214222,552,552,552
20200329,CSP27,2020-11-26_154625,552,552,552
20200329,CSP27,2020-11-27_141627,552,552,552
